# TimeStep  RandWalk_mean  RandWalk_lo  RandWalk_hi  PIG_mean  PIG_lo  PIG_hi  EPIG_mean  EPIG_lo  EPIG_hi  TPIG_mean  TPIG_lo  TPIG_hi  ETPIG_mean  ETPIG_lo  ETPIG_hi  LP_mean  LP_lo  LP_hi
43  17.382536  13.723089  21.041983  24.630810  21.748704  27.512916  24.533648  21.008508  28.058788  7.086098  6.546583  7.625613  7.640667  5.810922  9.470412  7.946922  6.520313  9.373530
44  17.592679  13.895324  21.290034  24.796419  21.750129  27.842709  24.834583  21.230508  28.438658  7.346783  6.698449  7.995116  7.912685  6.032081  9.793288  8.191585  6.799920  9.583250
45  17.821003  14.074535  21.567471  24.914930  21.812271  28.017589  25.137891  21.417740  28.858042  7.721183  6.963506  8.478861  8.078785  6.133333  10.024237  8.315545  7.002014  9.629076
46  18.077738  14.227299  21.928177  24.931348  21.815152  28.047544  25.391091  21.587809  29.194373  7.975490  7.197187  8.753794  8.305124  6.481992  10.128256  8.397287  7.164857  9.629717
47  18.304448  14.453306  22.155591  25.004626  21.928686  28.080566  25.662607  21.737287  29.587927  7.992010  7.265178  8.718842  8.488981  6.605967  10.371995  8.383922  6.976773  9.791072
48  18.566453  14.653233  22.479674  25.187961  22.184004  28.191918  25.800026  21.835664  29.764388  7.976534  7.256812  8.696255  8.595844  6.557889  10.633800  8.371164  6.921314  9.821014
49  18.811943  14.781013  22.842872  25.360511  22.308985  28.412037  26.061472  22.161838  29.961106  7.894385  7.210228  8.578542  8.757385  6.660909  10.853861  8.569925  7.143431  9.996418
50  19.102608  15.048154  23.157061  25.707400  22.639274  28.775526  26.280614  22.529134  30.032094  7.947677  7.256246  8.639109  8.953227  6.939513  10.966941  8.736062  7.258885  10.213238
51  19.314230  15.186124  23.442337  26.022508  22.879500  29.165516  26.506462  22.810932  30.201992  8.176107  7.582465  8.769750  9.064410  6.936946  11.191873  8.857795  7.278662  10.436929
52  19.510524  15.353950  23.667098  26.359739  23.208462  29.511016  26.775137  23.116484  30.433790  8.195273  7.634134  8.756412  9.232898  7.095241  11.370554  9.033761  7.468551  10.598970
53  19.760602  15.433342  24.087862  26.720266  23.528148  29.912384  27.080041  23.434065  30.726017  8.296330  7.724837  8.867823  9.428241  7.285745  11.570736  9.305062  7.786782  10.823343
54  19.907709  15.507362  24.308056  27.056169  23.853220  30.259118  27.392366  23.640861  31.143871  8.671269  7.955823  9.386715  9.595719  7.487393  11.704046  9.604878  8.017883  11.191873
55  20.089993  15.597550  24.582437  27.410032  24.173549  30.646515  27.648180  23.854272  31.442088  9.066089  8.327063  9.805116  9.715658  7.622075  11.809241  9.759944  8.218726  11.301161
56  20.303344  15.756050  24.850638  27.654071  24.325248  30.982894  27.996864  24.192460  31.801268  9.178111  8.433963  9.922260  9.874166  7.789402  11.958930  9.884390  8.447886  11.320893
57  20.429778  15.834936  25.024620  27.907233  24.555131  31.259335  28.229248  24.363056  32.095440  9.310537  8.534780  10.086294  10.057560  8.076919  12.038202  9.993880  8.526320  11.461439
58  20.607663  15.974114  25.241212  28.084237  24.685831  31.482643  28.499526  24.595363  32.403689  9.585314  8.719575  10.451052  10.257218  8.209510  12.304925  10.071828  8.593672  11.549983
59  20.809729  16.167709  25.451748  28.336834  24.913186  31.760482  28.698919  24.657891  32.739947  9.606796  8.762191  10.451402  10.393166  8.284434  12.501898  10.154921  8.727469  11.582373
60  20.967159  16.287171  25.647146  28.532490  25.120282  31.944698  28.851288  24.769093  32.933483  9.671755  8.813443  10.530068  10.570600  8.433281  12.707919  10.248598  8.813594  11.683603
61  21.227933  16.496084  25.959781  28.833679  25.376408  32.290950  28.975404  24.863401  33.087407  9.953756  9.117421  10.790092  10.828822  8.715670  12.941973  10.308288  8.791690  11.824886
